refDate,reporterISO,reporterDesc,flowDesc,partnerDesc,cmdCode,cmdDesc,qtyUnitAbbr,qty,isQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,primaryValue,value_per_unit
2024-10-01,PRT,Portugal,Import,World,710812,"Metals; gold, non-monetary, unwrought (but not powder)",kg,29.308,False,28.76,False,0.0,False,2566254.291,87561.5630885765
2024-10-01,PRT,Portugal,Import,World,710813,"Metals; gold, semi-manufactured",kg,58.014,False,57.635,False,0.0,False,4489519.539,77386.82971351742
2024-10-01,KOR,Rep. of Korea,Import,World,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",kg,2721.648,False,2721.648,False,0.0,False,223386289.0,82077.58277337848
2024-10-01,KOR,Rep. of Korea,Import,World,710811,"Metals; gold, non-monetary, powder",kg,1.826,False,1.826,False,0.0,False,9709.0,5317.086527929901
2024-10-01,KOR,Rep. of Korea,Import,World,710812,"Metals; gold, non-monetary, unwrought (but not powder)",kg,2047.989,False,2047.989,False,0.0,False,177364002.0,86603.98175966766
2024-10-01,KOR,Rep. of Korea,Import,World,710813,"Metals; gold, semi-manufactured",kg,671.833,False,671.833,False,0.0,False,46012578.0,68488.11832702473
2024-10-01,ROU,Romania,Import,World,284330,Gold compounds,kg,2.615,True,3.115,True,0.0,False,123027.2,47046.73040152963
2024-10-01,ROU,Romania,Import,World,710811,"Metals; gold, non-monetary, powder",kg,6.614,True,6.614,True,0.0,False,307734.08,46527.680677351076
2024-10-01,ROU,Romania,Import,World,710812,"Metals; gold, non-monetary, unwrought (but not powder)",kg,91.03,True,91.389,True,0.0,False,7797057.4,85653.7119630891
2024-10-01,SAU,Saudi Arabia,Import,World,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",kg,7499.0,False,7499.0,False,0.0,False,644529455.62,85948.72057874383
2024-10-01,SAU,Saudi Arabia,Import,World,710812,"Metals; gold, non-monetary, unwrought (but not powder)",kg,7469.0,False,7469.0,False,0.0,False,642293683.676,85994.60217914045
2024-10-01,SAU,Saudi Arabia,Import,World,710813,"Metals; gold, semi-manufactured",kg,30.0,False,30.0,False,0.0,False,2235771.944,74525.73146666666
2024-10-01,SRB,Serbia,Import,World,284330,Gold compounds,kg,0.11,False,0.11,False,0.0,False,6555.0,59590.90909090909
2024-10-01,SRB,Serbia,Import,World,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",kg,267.74,False,268.06,False,0.0,False,23172780.0,86549.56300888922
2024-10-01,SRB,Serbia,Import,World,710812,"Metals; gold, non-monetary, unwrought (but not powder)",kg,0.05,False,0.05,False,0.0,False,4277.0,85540.0
2024-10-01,SRB,Serbia,Import,World,710813,"Metals; gold, semi-manufactured",kg,267.69,False,268.01,False,0.0,False,23168503.0,86549.7515783182
